"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 04 08:53:34 GMT 2024","Fri Oct 04 08:53:37 GMT 2024","2674","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
"broken","Fri Oct 04 08:53:24 GMT 2024","Fri Oct 04 08:53:34 GMT 2024","10046","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Fri Oct 04 08:53:37 GMT 2024","Fri Oct 04 08:53:37 GMT 2024","0","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page",""
"passed","Fri Oct 04 08:52:50 GMT 2024","Fri Oct 04 08:52:50 GMT 2024","314","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 08:52:52 GMT 2024","Fri Oct 04 08:53:24 GMT 2024","32362","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Fri Oct 04 08:53:37 GMT 2024","Fri Oct 04 08:53:37 GMT 2024","0","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page",""
"broken","Fri Oct 04 08:52:16 GMT 2024","Fri Oct 04 08:52:16 GMT 2024","0","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"passed","Fri Oct 04 08:52:50 GMT 2024","Fri Oct 04 08:52:50 GMT 2024","223","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 08:52:51 GMT 2024","Fri Oct 04 08:52:51 GMT 2024","0","Tests","test_SocialMediaLinks","TestLogin","","","Twitter link",""
"broken","Fri Oct 04 08:52:51 GMT 2024","Fri Oct 04 08:52:51 GMT 2024","0","Tests","test_SocialMediaLinks","TestLogin","","","Manually open new tab",""
"broken","Fri Oct 04 08:53:37 GMT 2024","Fri Oct 04 08:53:37 GMT 2024","0","Tests","test_VisualTests","TestVisual","","","Visual check of the Landing page",""
"broken","Fri Oct 04 08:52:49 GMT 2024","Fri Oct 04 08:52:49 GMT 2024","0","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Fri Oct 04 08:52:49 GMT 2024","Fri Oct 04 08:52:50 GMT 2024","739","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 08:53:37 GMT 2024","Fri Oct 04 08:53:37 GMT 2024","0","Tests","test_VisualTests","TestVisual","","","Visual check of the broken Home page after burger button click",""
"passed","Fri Oct 04 08:52:50 GMT 2024","Fri Oct 04 08:52:51 GMT 2024","235","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 08:52:48 GMT 2024","Fri Oct 04 08:52:48 GMT 2024","0","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 08:52:49 GMT 2024","Fri Oct 04 08:52:49 GMT 2024","0","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"passed","Fri Oct 04 08:52:47 GMT 2024","Fri Oct 04 08:52:48 GMT 2024","1708","Tests","test_LandingPage","TestLandingPage","","","Login logo is visible",""
"broken","Fri Oct 04 08:52:49 GMT 2024","Fri Oct 04 08:52:49 GMT 2024","0","Tests","test_Login","TestLogin","","","Unsuccessful login",""
"broken","Fri Oct 04 08:52:16 GMT 2024","Fri Oct 04 08:52:16 GMT 2024","0","Tests","test_ContactList","TestContactList","","","Contact list displays wright names",""
"passed","Fri Oct 04 08:52:51 GMT 2024","Fri Oct 04 08:52:51 GMT 2024","515","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Fri Oct 04 08:52:14 GMT 2024","Fri Oct 04 08:52:14 GMT 2024","0","Tests","test_Accessibility","TestAccessibility","","","Check the landing page accessibility",""
"broken","Fri Oct 04 08:52:16 GMT 2024","Fri Oct 04 08:52:16 GMT 2024","0","Tests","test_EmailReader","TestEmailReader","","","Check the latest notification email subject",""
"broken","Fri Oct 04 08:52:16 GMT 2024","Fri Oct 04 08:52:16 GMT 2024","0","Tests","test_Accessibility","TestAccessibility","","","Check the home page accessibility",""
"broken","Fri Oct 04 08:53:37 GMT 2024","Fri Oct 04 08:53:37 GMT 2024","0","Tests","test_VisualTests","TestVisual","","","Visual check of the Home page after burger button click",""
"broken","Fri Oct 04 08:52:49 GMT 2024","Fri Oct 04 08:52:49 GMT 2024","0","Tests","test_Login","TestLogin","","","Successful login",""
"broken","Fri Oct 04 08:52:51 GMT 2024","Fri Oct 04 08:52:51 GMT 2024","0","Tests","test_SocialMediaLinks","TestLogin","","","Navigate to iframe",""
