"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190","Unsuccessful login","Tests","Mon Oct 07 09:42:15 UTC 2024","passed","Mon Oct 07 09:42:16 UTC 2024","TestLogin","test_Login","",""
"","10056","Manually open new tab","Tests","Mon Oct 07 09:42:51 UTC 2024","broken","Mon Oct 07 09:43:01 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","5309","Visual check of the broken Home page","Tests","Mon Oct 07 09:43:58 UTC 2024","failed","Mon Oct 07 09:44:03 UTC 2024","TestVisual","test_VisualTests","",""
"","470","Check the latest notification email subject","Tests","Mon Oct 07 09:42:00 UTC 2024","passed","Mon Oct 07 09:42:00 UTC 2024","TestEmailReader","test_EmailReader","",""
"","452","Successful login","Tests","Mon Oct 07 09:42:18 UTC 2024","passed","Mon Oct 07 09:42:19 UTC 2024","TestLogin","test_Login","",""
"","738","Login logo is visible","Tests","Mon Oct 07 09:42:14 UTC 2024","passed","Mon Oct 07 09:42:14 UTC 2024","TestLandingPage","test_LandingPage","",""
"","2221","Navigate to iframe","Tests","Mon Oct 07 09:43:01 UTC 2024","passed","Mon Oct 07 09:43:03 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","321","Unsuccessful login","Tests","Mon Oct 07 09:42:18 UTC 2024","passed","Mon Oct 07 09:42:18 UTC 2024","TestLogin","test_Login","",""
"","498","Check the landing page accessibility","Tests","Mon Oct 07 09:41:57 UTC 2024","failed","Mon Oct 07 09:41:57 UTC 2024","TestAccessibility","test_Accessibility","",""
"","3001","Visual check of the Home page","Tests","Mon Oct 07 09:43:51 UTC 2024","passed","Mon Oct 07 09:43:54 UTC 2024","TestVisual","test_VisualTests","",""
"","32282","Twitter link","Tests","Mon Oct 07 09:43:04 UTC 2024","broken","Mon Oct 07 09:43:36 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","223","Unsuccessful login","Tests","Mon Oct 07 09:42:18 UTC 2024","passed","Mon Oct 07 09:42:18 UTC 2024","TestLogin","test_Login","",""
"","10017","Manually open new tab","Tests","Mon Oct 07 09:43:36 UTC 2024","broken","Mon Oct 07 09:43:46 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","3838","Visual check of the Home page after burger button click","Tests","Mon Oct 07 09:43:54 UTC 2024","passed","Mon Oct 07 09:43:58 UTC 2024","TestVisual","test_VisualTests","",""
"","6073","Visual check of the broken Home page after burger button click","Tests","Mon Oct 07 09:44:03 UTC 2024","failed","Mon Oct 07 09:44:09 UTC 2024","TestVisual","test_VisualTests","",""
"","175","Unsuccessful login","Tests","Mon Oct 07 09:42:15 UTC 2024","passed","Mon Oct 07 09:42:15 UTC 2024","TestLogin","test_Login","",""
"","569","Unsuccessful login","Tests","Mon Oct 07 09:42:17 UTC 2024","passed","Mon Oct 07 09:42:17 UTC 2024","TestLogin","test_Login","",""
"","428","Check the home page accessibility","Tests","Mon Oct 07 09:41:57 UTC 2024","failed","Mon Oct 07 09:41:58 UTC 2024","TestAccessibility","test_Accessibility","",""
"","434","Successful login","Tests","Mon Oct 07 09:42:16 UTC 2024","failed","Mon Oct 07 09:42:16 UTC 2024","TestLogin","test_Login","",""
"","401","Unsuccessful login","Tests","Mon Oct 07 09:42:15 UTC 2024","passed","Mon Oct 07 09:42:15 UTC 2024","TestLogin","test_Login","",""
"","183","Login logo is visible","Tests","Mon Oct 07 09:42:01 UTC 2024","passed","Mon Oct 07 09:42:01 UTC 2024","TestLandingPage","test_LandingPage","",""
"","1384","Contact list displays wright names","Tests","Mon Oct 07 09:41:58 UTC 2024","passed","Mon Oct 07 09:42:00 UTC 2024","TestContactList","test_ContactList","",""
"","2868","Navigate to iframe","Tests","Mon Oct 07 09:43:46 UTC 2024","passed","Mon Oct 07 09:43:49 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","186","Unsuccessful login","Tests","Mon Oct 07 09:42:16 UTC 2024","passed","Mon Oct 07 09:42:16 UTC 2024","TestLogin","test_Login","",""
"","32188","Twitter link","Tests","Mon Oct 07 09:42:19 UTC 2024","broken","Mon Oct 07 09:42:51 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","215","Unsuccessful login","Tests","Mon Oct 07 09:42:17 UTC 2024","passed","Mon Oct 07 09:42:18 UTC 2024","TestLogin","test_Login","",""
"","1661","Visual check of the Landing page","Tests","Mon Oct 07 09:43:49 UTC 2024","passed","Mon Oct 07 09:43:51 UTC 2024","TestVisual","test_VisualTests","",""
