"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10039","Manually open new tab","Tests","Fri Oct 04 11:26:10 UTC 2024","broken","Fri Oct 04 11:26:20 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","334","Successful login","Tests","Fri Oct 04 11:25:34 UTC 2024","passed","Fri Oct 04 11:25:34 UTC 2024","TestLogin","test_Login","",""
"","198","Unsuccessful login","Tests","Fri Oct 04 11:25:34 UTC 2024","passed","Fri Oct 04 11:25:34 UTC 2024","TestLogin","test_Login","",""
"","762","Check the latest notification email subject","Tests","Fri Oct 04 11:25:12 UTC 2024","passed","Fri Oct 04 11:25:13 UTC 2024","TestEmailReader","test_EmailReader","",""
"","1465","Visual check of the Landing page","Tests","Fri Oct 04 11:27:08 UTC 2024","broken","Fri Oct 04 11:27:10 UTC 2024","TestVisual","test_VisualTests","",""
"","184","Unsuccessful login","Tests","Fri Oct 04 11:25:33 UTC 2024","passed","Fri Oct 04 11:25:33 UTC 2024","TestLogin","test_Login","",""
"","738","Check the landing page accessibility","Tests","Fri Oct 04 11:25:09 UTC 2024","failed","Fri Oct 04 11:25:10 UTC 2024","TestAccessibility","test_Accessibility","",""
"","243","Unsuccessful login","Tests","Fri Oct 04 11:25:36 UTC 2024","passed","Fri Oct 04 11:25:36 UTC 2024","TestLogin","test_Login","",""
"","2208","Navigate to iframe","Tests","Fri Oct 04 11:26:20 UTC 2024","passed","Fri Oct 04 11:26:22 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","1489","Visual check of the Home page","Tests","Fri Oct 04 11:27:10 UTC 2024","broken","Fri Oct 04 11:27:11 UTC 2024","TestVisual","test_VisualTests","",""
"","689","Unsuccessful login","Tests","Fri Oct 04 11:25:35 UTC 2024","passed","Fri Oct 04 11:25:35 UTC 2024","TestLogin","test_Login","",""
"","2589","Navigate to iframe","Tests","Fri Oct 04 11:27:05 UTC 2024","passed","Fri Oct 04 11:27:08 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","220","Login logo is visible","Tests","Fri Oct 04 11:25:13 UTC 2024","passed","Fri Oct 04 11:25:13 UTC 2024","TestLandingPage","test_LandingPage","",""
"","32454","Twitter link","Tests","Fri Oct 04 11:26:23 UTC 2024","broken","Fri Oct 04 11:26:55 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","201","Unsuccessful login","Tests","Fri Oct 04 11:25:33 UTC 2024","passed","Fri Oct 04 11:25:34 UTC 2024","TestLogin","test_Login","",""
"","2340","Visual check of the Home page after burger button click","Tests","Fri Oct 04 11:27:11 UTC 2024","broken","Fri Oct 04 11:27:14 UTC 2024","TestVisual","test_VisualTests","",""
"","226","Unsuccessful login","Tests","Fri Oct 04 11:25:35 UTC 2024","passed","Fri Oct 04 11:25:36 UTC 2024","TestLogin","test_Login","",""
"","1161","Login logo is visible","Tests","Fri Oct 04 11:25:31 UTC 2024","passed","Fri Oct 04 11:25:32 UTC 2024","TestLandingPage","test_LandingPage","",""
"","2293","Visual check of the broken Home page after burger button click","Tests","Fri Oct 04 11:27:16 UTC 2024","broken","Fri Oct 04 11:27:18 UTC 2024","TestVisual","test_VisualTests","",""
"","829","Successful login","Tests","Fri Oct 04 11:25:36 UTC 2024","failed","Fri Oct 04 11:25:37 UTC 2024","TestLogin","test_Login","",""
"","774","Contact list displays wright names","Tests","Fri Oct 04 11:25:11 UTC 2024","passed","Fri Oct 04 11:25:12 UTC 2024","TestContactList","test_ContactList","",""
"","405","Unsuccessful login","Tests","Fri Oct 04 11:25:36 UTC 2024","passed","Fri Oct 04 11:25:36 UTC 2024","TestLogin","test_Login","",""
"","1454","Visual check of the broken Home page","Tests","Fri Oct 04 11:27:14 UTC 2024","broken","Fri Oct 04 11:27:16 UTC 2024","TestVisual","test_VisualTests","",""
"","447","Unsuccessful login","Tests","Fri Oct 04 11:25:33 UTC 2024","passed","Fri Oct 04 11:25:33 UTC 2024","TestLogin","test_Login","",""
"","845","Check the home page accessibility","Tests","Fri Oct 04 11:25:10 UTC 2024","failed","Fri Oct 04 11:25:11 UTC 2024","TestAccessibility","test_Accessibility","",""
"","32330","Twitter link","Tests","Fri Oct 04 11:25:38 UTC 2024","broken","Fri Oct 04 11:26:10 UTC 2024","TestLogin","test_SocialMediaLinks","",""
"","10025","Manually open new tab","Tests","Fri Oct 04 11:26:55 UTC 2024","broken","Fri Oct 04 11:27:05 UTC 2024","TestLogin","test_SocialMediaLinks","",""
